9C0FB05C.BBS,1. Basic 6/8
9DCDDA6B.BBS,2. Basic 7/8
E7AB6BBB.BBS,3. Basic Bossa Nova
162D7C03.BBS,4. Basic Pop 8th
F7B22C39.BBS,5. Basic Rock
EEEC86C3.BBS,6. Basic Rock Quarters
8E34C686.BBS,7. Basic Rock Ballad
15E96D0D.BBS,8. Basic Reggae-straight
1B2E3ED2.BBS,9. Basic Reggae-swung
C0061F77.BBS,10. Rockabilly Train-straight
A837C1E7.BBS,11. Rockabilly Train-swung
D6D739E9.BBS,12. Basic Shuffle
860B0601.BBS,13. Basic Swing
3DFBD813.BBS,14. Basic Shuffle Funk
D319FC6B.BBS,15. Basic Waltz
